,word,cos
91,alegrar,0.6061425
126,amar,0.6064651
130,amaron,0.6065972
225,atraes,0.60671335
1011,peor,0.6070181
1266,sufro,0.60718256
746,ideali,0.60742503
860,lloras,0.60782164
530,enemistad,0.6081232
1241,sonrei,0.608212
1178,riñe,0.6083689
725,herir,0.60890037
80,agravi,0.6092729
445,deseo,0.60968757
735,honra,0.6099329
227,atraje,0.61028033
987,pasmos,0.6103523
1345,vacilante,0.6104367
917,melancól,0.61051255
935,molestar,0.6111989
864,loca,0.61159545
525,emputecid,0.61168313
1378,violento,0.61205167
1315,travesura,0.6122135
46,admira,0.6124158
1314,trastorn,0.6125171
122,amáis,0.6127293
615,extrañará,0.6128112
6,abandonaré,0.6133711
954,odiará,0.6135343
255,berrinch,0.6136869
321,clamar,0.61392516
189,ardor,0.613943
49,adoro,0.6139588
642,fervor,0.6139835
1282,temer,0.6142573
547,equivoca,0.6147337
462,desorde,0.6149925
756,importa,0.6151798
265,broma,0.61530393
937,mueca,0.6153075
616,extrañaré,0.6154234
115,alientas,0.6154308
1046,pobre,0.6159655
395,culpa,0.6164388
1320,triunfa,0.6167185
1126,realidad,0.6167324
1340,turbar,0.6169277
310,censurable,0.61709607
57,afligir,0.6171079
182,aprensi,0.61791104
196,arriesga,0.6179688
175,aplaudid,0.6179748
1302,tonta,0.61812884
862,lloró,0.61864626
50,afable,0.6193907
320,clamando,0.61958945
884,malo,0.6197982
1034,perturba,0.6198508
369,contradecimos,0.62000114
629,fastidiar,0.6200218
721,gusta,0.6201477
1292,terco,0.6201569
613,extrañando,0.62039346
952,odiando,0.62092537
659,fracasaré,0.6218405
434,desconfía,0.6221313
1321,triunfáis,0.6223055
922,mentiros,0.62265015
314,chistosisim,0.6227754
1104,queriendo,0.623035
166,apena,0.6230663
270,bromear,0.6231191
381,cordura,0.62323964
195,arrepenti,0.62334955
1317,tremend,0.62360114
442,desenvoltura,0.62360454
56,afligi,0.6238837
637,felicidad,0.62421316
157,ansia,0.62449324
124,aman,0.62456465
303,castigué,0.6246462
1088,protestast,0.6247441
1129,recelo,0.62517095
