,word,cos
81,afortunad,0.57737637
641,dudo,0.5776326
647,encaja,0.5776801
1242,responderá,0.57791173
929,juzgo,0.57791716
735,explicais,0.5783929
10,abandoné,0.57854104
466,declaráis,0.57872224
1274,revela,0.57895714
132,aseguráis,0.5790497
974,miraré,0.5791137
154,asombraron,0.5792413
545,describí,0.57952946
1025,ocupé,0.5795798
521,dejas,0.5797771
837,ignorar,0.5797996
847,imaginar,0.5799057
1238,responde,0.57991624
1333,sospechó,0.5799579
20,aceptáis,0.57996994
1338,sostendre,0.5800714
1177,recordará,0.5800741
924,juzgará,0.58008546
1366,supimos,0.5802995
919,juzgáis,0.58042747
1136,psicoanalizaré,0.5804784
1237,resolvist,0.580916
970,miran,0.5810881
29,acepté,0.58114153
819,hallamos,0.5811453
662,encuentras,0.5811762
96,agarró,0.581521
769,figuraste,0.58187306
971,mirando,0.5823266
157,asombré,0.5828519
591,detenemos,0.58308655
513,dejamos,0.5832931
555,describo,0.5833449
1000,negar,0.5836706
77,admitís,0.58382964
289,confesando,0.58414155
559,descubrimos,0.5841731
930,juzgué,0.5843139
816,hago,0.5843679
1450,viendo,0.5843874
553,describís,0.58441806
916,justifica,0.58468634
1186,recuerdas,0.5847838
539,dependo,0.5848361
349,consultaste,0.58526313
1239,respondemos,0.5852902
980,motiva,0.5853902
589,detendre,0.58552474
334,consiente,0.58554506
1128,psicoanalizaste,0.5857015
742,explicare,0.58589816
214,causáis,0.5860009
583,desorienta,0.5866823
357,contestamos,0.58673626
597,detiene,0.58675224
498,defendí,0.58683914
28,aceptaste,0.5869857
1258,resuelvo,0.5869961
474,declaras,0.5871808
670,entender,0.5872356
1050,pareceré,0.5877034
1181,recordaste,0.5879025
1132,psicoanalizamos,0.58797175
53,adivinan,0.58798784
508,defiendes,0.58866745
127,arregla,0.58921885
358,contestan,0.5893034
1322,sospecháis,0.5897579
266,comprendere,0.590174
197,canceláis,0.59023196
365,contestaste,0.5902615
1083,perplej,0.59032947
304,confiando,0.59076834
1232,resolveré,0.59102386
920,juzgamos,0.5914076
601,detuviste,0.59165275
678,entendimos,0.591804
1368,supo,0.59181887
862,impresionad,0.5919114
78,admitiste,0.5919292
1465,vió,0.59215677
1443,ver,0.5921973
771,figuro,0.59231615
675,entendiendo,0.59274536
290,confesar,0.59290045
386,convertiste,0.5930499
412,creyendo,0.59341806
1187,recuerdo,0.5937007
503,defendiste,0.5937802
462,decido,0.59398776
95,agarro,0.5944263
376,contradirá,0.59457743
1271,retuve,0.5951363
684,entienden,0.5952302
68,admití,0.5955422
311,confiaste,0.59578216
632,dudar,0.5960496
39,acertaste,0.5966337
372,contradice,0.5972339
1446,veré,0.59733284
1331,sospechast,0.59743863
556,descubre,0.5974833
476,declaré,0.5978138
320,confundi,0.5979418
414,creyó,0.59797615
788,fingir,0.5982442
52,adivinamos,0.59833837
317,confío,0.598701
1164,reconocí,0.5987654
411,creo,0.5990653
851,imaginas,0.5991269
658,encontré,0.5993008
362,contestare,0.59952444
629,dudamos,0.59956175
1310,sobreentenderé,0.5996608
33,acertamos,0.59971493
175,averiguo,0.60000616
827,hallaste,0.6005231
673,entendere,0.600566
150,asombra,0.60132337
1182,recordé,0.6014818
9,abandonaste,0.6018079
417,cuestiona,0.6021015
339,consultáis,0.6022225
657,encontraste,0.6023737
79,admito,0.60256124
736,explicamos,0.602568
442,custodiaste,0.6026151
620,distinguís,0.6028721
59,adivinas,0.6029327
1448,ves,0.60299456
918,juzga,0.60303164
475,declaraste,0.60331005
471,declararé,0.6034436
927,juzgas,0.60365105
562,descubrirá,0.60377806
364,contestas,0.6039983
967,mira,0.60419816
287,confesáis,0.60424215
307,confiaré,0.60444623
8,abandonas,0.60464215
260,comprendéis,0.6047634
1178,recordaré,0.60529876
1372,supongo,0.6057255
367,contestó,0.60575247
1265,retengo,0.6058907
1449,ví,0.6059182
639,dudé,0.6059638
61,adiviné,0.6061244
391,convierto,0.6062781
668,entendéis,0.60641885
418,cuestionáis,0.606645
753,fía,0.60664743
1286,sabré,0.6074183
1332,sospeché,0.6076753
1282,saben,0.60807973
978,miro,0.60815513
294,confesaste,0.6084877
1154,realidad,0.6085446
845,imaginan,0.6086377
1439,veis,0.60875505
427,cuestionaste,0.60917103
1079,perdona,0.6093656
922,juzgando,0.6096506
1364,supe,0.60996157
1411,testarud,0.6101392
1281,sabemos,0.6104093
1444,verá,0.61063325
326,conociendo,0.61068976
1466,viste,0.61085534
849,imaginaré,0.61089724
509,defiendo,0.6111042
557,descubrí,0.6114467
50,adivina,0.61145633
301,confiáis,0.61156285
1,abandonáis,0.6116927
439,custodiaré,0.61220753
1370,supondré,0.6125671
683,entiende,0.6126661
526,delata,0.6127207
310,confías,0.6127578
654,encontraré,0.61295134
621,distinguiste,0.61323386
565,descubriste,0.613629
1169,reconociste,0.6137171
361,contestaré,0.6138628
314,confiesa,0.6146112
1243,responderé,0.6146191
356,contestáis,0.61592746
564,descubrís,0.6162128
1066,pensando,0.61654943
313,confié,0.61671966
6,abandonaré,0.61679673
295,confesé,0.6168301
261,comprendemos,0.6170202
56,adivinará,0.61743426
430,cuestiono,0.6175978
1412,tienta,0.6177316
419,cuestionamos,0.6178615
1392,tentaste,0.61795825
669,entendemos,0.6180526
54,adivinando,0.6184398
70,admitiendo,0.61885816
355,contesta,0.6194927
1283,sabes,0.6203564
459,decidiré,0.6207998
291,confesará,0.6210586
831,hallo,0.6220921
428,cuestioné,0.6221709
426,cuestionas,0.6229108
588,detendré,0.62330115
631,dudando,0.6238234
842,imagina,0.6239186
674,entendí,0.6265888
72,admitimos,0.62723696
741,explicaré,0.62802917
1285,sabrá,0.62869895
680,entendiste,0.6291742
375,contradijimos,0.62935984
366,contesté,0.62975806
377,contradiré,0.6302871
170,averiguará,0.6311554
424,cuestionare,0.6323194
638,dudaste,0.6325334
1049,parecerá,0.6326439
422,cuestionará,0.6327119
846,imaginando,0.6332597
265,comprenderé,0.63330215
404,creeré,0.6335079
30,acepto,0.6335545
679,entendió,0.63391316
1278,sabe,0.6359621
1069,pensaré,0.6359648
1326,sospechará,0.6360585
1067,pensar,0.6362336
63,adivinó,0.6374821
315,confieso,0.637662
563,descubriré,0.6379631
1162,reconoceré,0.63821715
273,comprendiste,0.6383781
274,comprendo,0.6385072
374,contradices,0.63896215
60,adivinaste,0.6399585
1245,respondes,0.64070153
744,explicas,0.64079547
1163,reconoces,0.6415416
593,detengo,0.641559
492,deduzco,0.6419088
1292,sé,0.64244497
268,comprendí,0.6426922
750,expliqué,0.64370006
1246,respondí,0.6441772
151,asombramos,0.6441855
1045,parece,0.6448007
687,entrometer,0.644866
1340,sostengo,0.64488685
745,explicaste,0.6448887
685,entiendes,0.64490145
369,contradecimos,0.6450085
57,adivinaré,0.64502877
854,imagino,0.6456354
1170,reconozco,0.6462359
143,aseguro,0.6466021
1334,sospecho,0.64865625
1284,sabiendo,0.6490232
1445,verdad,0.65033185
848,imaginará,0.65054536
554,describiste,0.65086776
155,asombras,0.6515555
1086,pienso,0.65183914
1085,piensa,0.6519444
368,contesto,0.65204066
686,entiendo,0.6530856
76,admitiré,0.6558376
292,confesaré,0.6570377
525,dejo,0.6595599
1328,sospechare,0.66021883
58,adivinaron,0.6616933
566,descubro,0.6622696
156,asombraste,0.6637528
619,distinguiré,0.66580003
1068,pensará,0.667016
423,cuestionaré,0.66961825
267,comprendes,0.6735927
1251,respondo,0.675938
403,creerá,0.67701346
1327,sospecharé,0.67827296
1442,veo,0.68223804
749,explico,0.69108844
